CZAS;Bochnia poz. dop.: 50 ;Brzeszcze, ul. Koscielna poz. dop.: 50 ;Gorlice poz. dop.: 50 ;Krakow-Kurdwanow poz. dop.: 50 ;Krakow, os. Piastow poz. dop.: 50 ;Krakow, os. Wadow poz. dop.: 50 ;Krakow, ul. Telimeny poz. dop.: 50 ;Krakow, ul. Zloty Rog poz. dop.: 50 ;Muszyna, ul. A. Kity 17 poz. dop.: 50 ;Niepolomice poz. dop.: 50 ;Nowa Huta poz. dop.: 50 ;Nowy Sacz poz. dop.: 50 ;Nowy Targ, Pl. Slowackiego poz. dop.: 50 ;Rabka-Zdroj poz. dop.: 50 ;Tarnow poz. dop.: 50 ;Trzebinia poz. dop.: 50 ;Tuchow poz. dop.: 50 ;Zakopane poz. dop.: 50 
25.01;132;307;75;155;156;-;161;180;46;115;-;102;92;129;120;136;114;25
26.01;125;427;81;122;96;-;133;122;93;89;82;124;154;145;72;57;137;60
27.01;141;-;82;253;233;-;262;236;138;212;259;160;260;144;92;123;197;94
28.01;197;-;78;295;216;-;254;247;158;185;243;168;279;136;69;226;177;86
29.01;277;90;58;166;245;-;197;228;179;166;204;159;300;112;108;137;191;69
30.01;310;-;58;347;325;-;349;329;119;307;319;176;270;62;67;181;166;95
31.01;143;-;51;198;201;-;201;224;27;196;212;120;191;71;50;150;115;128
1.02;212;-;37;188;164;-;205;168;33;150;150;102;153;144;53;182;116;102
2.02;199;-;26;163;138;-;182;137;44;157;143;79;133;79;54;130;97;89
3.02;193;-;55;168;144;161;177;154;48;134;152;109;111;63;85;108;129;125
4.02;85;70;57;65;69;79;76;72;47;43;77;74;76;91;91;40;83;90
5.02;91;118;71;95;71;82;96;-;73;71;79;124;106;85;87;72;131;60
6.02;76;116;54;76;69;75;82;-;32;55;69;89;106;58;65;64;93;43
7.02;37;55;45;37;37;41;43;43;28;32;36;36;45;29;35;40;55;33
8.02;38;57;34;29;34;40;38;41;35;27;45;40;72;43;28;30;46;54
9.02;58;75;43;41;47;55;51;57;50;34;63;57;95;63;45;42;55;114
10.02;74;89;48;53;53;-;58;62;78;39;70;94;135;118;55;49;49;146
11.02;76;79;58;51;55;-;58;62;94;38;62;106;123;130;59;53;73;79
12.02;71;76;58;40;43;-;49;49;114;36;68;110;190;154;46;42;72;77
13.02;54;82;64;51;53;-;53;62;84;40;63;75;209;172;75;46;112;79
14.02;126;293;111;156;133;-;148;141;133;93;108;165;153;153;126;150;173;64
15.02;187;444;117;220;213;-;218;230;111;173;224;158;124;107;207;167;230;55
16.02;155;276;78;168;148;167;171;161;72;113;165;118;164;121;106;102;135;52
17.02;98;204;63;125;115;135;133;127;74;105;124;116;146;97;64;97;102;45
18.02;85;126;50;85;70;75;82;82;73;65;70;94;55;73;62;77;67;33
19.02;57;89;50;64;63;69;56;79;61;51;65;98;82;48;66;61;106;42
20.02;27;71;28;42;47;48;41;58;27;33;49;55;93;33;33;40;64;27
21.02;16;26;13;12;15;15;12;15;19;10;14;14;10;20;15;17;14;7
22.02;14;25;15;14;19;22;13;17;21;13;17;16;12;11;19;19;14;7
23.02;13;52;8;10;19;24;11;19;36;17;17;20;14;13;12;25;28;4
24.02;16;29;12;11;13;13;10;14;9;12;12;16;12;12;11;16;11;14
25.02;31;109;31;29;31;33;24;36;48;23;32;58;60;56;29;40;53;29
26.02;18;48;22;-;29;34;17;46;50;17;37;53;62;21;17;26;34;41
27.02;24;71;30;-;41;45;33;56;28;24;41;43;65;41;24;26;34;27
28.02;32;65;34;35;38;33;28;52;40;13;36;43;91;51;30;30;40;14
